Stacja poczï¿½tkowa;Stacja koï¿½cowa;Przewoï¿½nik;Strona 1;Strona 2;Strona 3;Strona 4;Strona 5;Status
Gliwice;Katowice;KS;10.036;0.47500000000000003;10.434000000000001;2.555;0.054;Znaleziono poï¿½ï¿½czenie
Czï¿½stochowa;Lubliniec;KS;9.53;0.492;10.377;4.635;0.046;Znaleziono poï¿½ï¿½czenie
Krakï¿½w;Tarnï¿½w;KML;9.523;0.447;0.0;0.0;0.0;ï¿½adowanie strony 3
Miechï¿½w;Sï¿½dziszï¿½w;KML;9.075000000000001;0.493;10.332;2.331;0.042;Znaleziono poï¿½ï¿½czenie
Gdynia-;Reda;SKM;9.199;0.47900000000000004;0.28200000000000003;2.447;0.038;Znaleziono poï¿½ï¿½czenie
Lï¿½bork;Wejherowo;SKM;9.303;0.555;10.35;2.571;0.043000000000000003;Znaleziono poï¿½ï¿½czenie
Toruï¿½-;Lipno;ARRIVA;9.065;0.425;10.4;2.271;0.039;Znaleziono poï¿½ï¿½czenie
Bydgoszcz-;Tuchola;ARRIVA;0.0;0.0;0.0;0.0;0.0;Wypeï¿½nienie elementï¿½w strony 1
Jabï¿½onowo Pomorskie-;Grudziï¿½dz;ARRIVA;8.52;0.0;0.0;0.0;0.0;Nie udaï¿½o siï¿½ zaï¿½adowaï¿½ wybranej strony
Wrocï¿½aw-;Legnica;KD;9.265;0.449;10.281;2.471;0.043000000000000003;Znaleziono poï¿½ï¿½czenie
Kobierzyce;Sobï¿½tka;KD;9.062;0.445;10.370000000000001;2.395;0.044;Znaleziono poï¿½ï¿½czenie
Poznaï¿½-;Gniezno;KW;9.172;0.405;10.42;2.2760000000000002;0.037;Znaleziono poï¿½ï¿½czenie
Lesznno;Rawicz;KW;8.896;0.397;10.345;1.7750000000000001;0.039;Znaleziono poï¿½ï¿½czenie
ï¿½ï¿½dï¿½-;ï¿½owicz-;ï¿½KA;9.362;0.481;0.264;3.342;0.038;Znaleziono poï¿½ï¿½czenie
ï¿½ï¿½dï¿½-;Kutno;ï¿½KA;9.028;0.47400000000000003;10.321;2.232;0.039;Znaleziono poï¿½ï¿½czenie
Gliwice;Katowice;KS;0.0;0.0;0.0;0.0;0.0;Wypeï¿½nienie elementï¿½w strony 1
Czï¿½stochowa;Lubliniec;KS;9.120000000000001;0.424;10.294;2.49;0.042;Znaleziono poï¿½ï¿½czenie
Miechï¿½w;Sï¿½dziszï¿½w;KML;0.0;0.0;0.0;0.0;0.0;Wypeï¿½nienie elementï¿½w strony 1
Gdynia-;Reda;SKM;0.0;0.0;0.0;0.0;0.0;Wypeï¿½nienie elementï¿½w strony 1
Gliwice;Katowice;KS;12.752;0.5660000000000001;10.381;2.539;0.056;Znaleziono poï¿½ï¿½czenie
Gliwice;Katowice;KS;9.818;0.389;10.383000000000001;2.884;0.046;Znaleziono po³¹czenie
Czêstochowa;Lubliniec;KS;9.228;0.43;10.493;3.54;0.047;Znaleziono po³¹czenie
Kraków;Tarnów;KML;10.007;0.465;0.279;2.27;0.041;Znaleziono po³¹czenie
Miechów;Sêdziszów;KML;9.062;0.406;10.413;2.208;0.043000000000000003;Znaleziono po³¹czenie
Gdynia-;Reda;SKM;9.287;0.451;0.259;2.488;0.039;Znaleziono po³¹czenie
Lêbork;Wejherowo;SKM;8.873;0.454;10.372;2.4210000000000003;0.039;Znaleziono po³¹czenie
Toruñ-;Lipno;ARRIVA;8.945;0.461;10.369;2.277;0.042;Znaleziono po³¹czenie
Bydgoszcz-;Tuchola;ARRIVA;0.0;0.0;0.0;0.0;0.0;Wype³nienie elementów strony 1
Gliwice;Katowice;KS;12.82;0.404;10.399000000000001;2.563;0.055;Znaleziono po³¹czenie
Gliwice;Katowice;KS;0.0;0.0;0.0;0.0;0.0;Wype³nienie elementów strony 1
Gliwice;Katowice;KS;10.156;0.47300000000000003;10.442;2.605;0.053;Znaleziono po³¹czenie
Czêstochowa;Lubliniec;KS;9.609;0.0;0.0;0.0;0.0;Nie uda³o siê znaleŸæ elementów danej strony
Kraków;Tarnów;KML;9.516;0.0;0.0;0.0;0.0;Nie uda³o siê znaleŸæ elementów danej strony
Gliwice;Katowice;KS;11.192;0.0;0.0;0.0;0.0;Nie uda³o siê znaleŸæ elementów danej strony
Gliwice;Katowice;KS;10.534;0.0;0.0;0.0;0.0;Nie uda³o siê znaleŸæ elementów danej strony
Gliwice;Katowice;KS;9.544;0.0;0.0;0.0;0.0;Nie uda³o siê znaleŸæ elementów danej strony
Gliwice;Katowice;KS;9.663;0.0;0.0;0.0;0.0;Wype³nienie elementów strony 1
Gliwice;Katowice;KS;9.653;0.0;0.0;0.0;0.0;Wype³nienie elementów strony 1
Gliwice;Katowice;KS;9.449;0.0;0.0;0.0;0.0;Wype³nienie elementów strony 1
Gliwice;Katowice;KS;9.666;0.0;0.0;0.0;0.0;Wype³nienie elementów strony 1
Gliwice;Katowice;KS;9.299;0.0;10.394;2.5580000000000003;0.053;Znaleziono po³¹czenie
Gliwice;Katowice;KS;9.933;10.333;2.564;0.044;0.002;Znaleziono po³¹czenie
Czêstochowa;Lubliniec;KS;9.575000000000001;10.371;2.637;0.045;0.001;Znaleziono po³¹czenie
Kraków;Tarnów;KML;9.126;0.76;2.303;0.041;0.001;Znaleziono po³¹czenie
Miechów;Sêdziszów;KML;9.801;10.349;2.363;0.048;0.001;Znaleziono po³¹czenie
Gdynia-;Reda;SKM;9.065;0.761;2.47;0.036000000000000004;0.003;Znaleziono po³¹czenie
Lêbork;Wejherowo;SKM;8.89;10.318;2.453;0.036000000000000004;0.002;Znaleziono po³¹czenie
Toruñ-;Lipno;ARRIVA;8.921;10.357000000000001;2.278;0.04;0.001;Znaleziono po³¹czenie
Bydgoszcz-;Tuchola;ARRIVA;0.0;0.0;0.0;0.0;0.0;Wype³nienie elementów strony 1
Jab³onowo Pomorskie-;Grudzi¹dz;ARRIVA;0.0;0.0;0.0;0.0;0.0;Nie uda³o siê znaleŸæ elementów danej strony
Wroc³aw-;Legnica;KD;9.095;10.284;2.479;0.037;0.001;Znaleziono po³¹czenie
Kobierzyce;Sobótka;KD;8.949;10.292;2.458;0.036000000000000004;0.001;Znaleziono po³¹czenie
Poznañ-;Gniezno;KW;9.101;10.378;2.314;0.036000000000000004;0.002;Znaleziono po³¹czenie
Lesznno;Rawicz;KW;9.163;10.341000000000001;2.254;0.039;0.001;Znaleziono po³¹czenie
£ódŸ-;£owicz-;£KA;9.323;0.756;3.555;0.036000000000000004;0.001;Znaleziono po³¹czenie
£ódŸ-;Kutno;£KA;9.039;10.369;2.801;0.037;0.001;Znaleziono po³¹czenie
Gliwice;Katowice;KS;0.0;0.0;0.0;0.0;0.0;Wype³nienie elementów strony 1
Czêstochowa;Lubliniec;KS;9.328;10.335;3.004;0.043000000000000003;0.003;Znaleziono po³¹czenie
Kraków;Tarnów;KML;0.0;0.0;0.0;0.0;0.0;Wype³nienie elementów strony 1
Miechów;Sêdziszów;KML;0.0;0.0;0.0;0.0;0.0;Wype³nienie elementów strony 1
Gdynia-;Reda;SKM;0.0;0.0;0.0;0.0;0.0;Wype³nienie elementów strony 1
Lêbork;Wejherowo;SKM;0.0;0.0;0.0;0.0;0.0;Wype³nienie elementów strony 1
Toruñ-;Lipno;ARRIVA;0.0;0.0;0.0;0.0;0.0;Wype³nienie elementów strony 1
Jab³onowo Pomorskie-;Grudzi¹dz;ARRIVA;0.0;0.0;0.0;0.0;0.0;Wype³nienie elementów strony 1
Wroc³aw-;Legnica;KD;0.0;0.0;0.0;0.0;0.0;Wype³nienie elementów strony 1
Kobierzyce;Sobótka;KD;0.0;0.0;0.0;0.0;0.0;Wype³nienie elementów strony 1
Gliwice;Katowice;KS;10.158;10.392;2.594;0.049;0.001;Znaleziono po³¹czenie
Gliwice;Katowice;KS;0.0;0.0;0.0;0.0;0.0;Nie uda³o siê znaleŸæ elementów danej strony
Kraków;Tarnów;KML;9.206;0.0;0.0;0.0;0.0;£adowanie strony 2
Gliwice;Katowice;KS;9.896;10.335;2.5380000000000003;0.045;0.002;Znaleziono po³¹czenie
Czêstochowa;Lubliniec;KS;9.18;10.315;2.559;0.053;0.001;Znaleziono po³¹czenie
Gliwice;Katowice;KS;11.83;10.381;2.774;0.049;0.002;Znaleziono po³¹czenie
Czêstochowa;Lubliniec;KS;10.933;10.389;2.539;0.045;0.001;Znaleziono po³¹czenie
Kraków;Tarnów;KML;11.001;0.776;2.3000000000000003;0.043000000000000003;0.002;Znaleziono po³¹czenie
Miechów;Sêdziszów;KML;10.459;10.411;2.326;0.039;0.002;Znaleziono po³¹czenie
Gdynia-;Reda;SKM;10.396;0.874;2.5;0.038;0.001;Znaleziono po³¹czenie
Lêbork;Wejherowo;SKM;10.799;10.407;5.072;0.04;0.004;Znaleziono po³¹czenie
Toruñ-;Lipno;ARRIVA;10.151;10.374;2.283;0.036000000000000004;0.001;Znaleziono po³¹czenie
Gliwice;Katowice;KS;10.771;10.373;2.547;0.046;0.004;Znaleziono po³¹czenie
Czêstochowa;Lubliniec;KS;10.551;10.411;2.6350000000000002;0.046;0.002;Znaleziono po³¹czenie
Kraków;Tarnów;KML;9.14;0.777;2.314;0.042;0.002;Znaleziono po³¹czenie
Gliwice;Katowice;KS;0.0;0.0;0.0;0.0;0.0;Nie uda³o siê obs³u¿yæ elementów danej strony
Gliwice;Katowice;KS;21.255;10.355;2.616;0.038;0.001;Znaleziono po³¹czenie
Czêstochowa;Lubliniec;KS;20.37;10.38;2.6550000000000002;0.038;0.002;Znaleziono po³¹czenie
Kraków;Tarnów;KML;21.086000000000002;0.0;0.0;0.0;0.0;£adowanie strony 2
Miechów;Sêdziszów;KML;20.785;10.31;2.2840000000000003;0.037;0.001;Znaleziono po³¹czenie
Gdynia-;Reda;SKM;20.641000000000002;0.805;2.527;0.037;0.001;Znaleziono po³¹czenie
Lêbork;Wejherowo;SKM;20.424;10.286;2.456;0.04;0.001;Znaleziono po³¹czenie
Toruñ-;Lipno;ARRIVA;20.939;10.34;2.358;0.035;0.0;Znaleziono po³¹czenie
Bydgoszcz-;Tuchola;ARRIVA;0.0;0.0;0.0;0.0;0.0;Wype³nienie elementów strony 1
Jab³onowo Pomorskie-;Grudzi¹dz;ARRIVA;0.0;0.0;0.0;0.0;0.0;Nie uda³o siê znaleŸæ elementów danej strony
Wroc³aw-;Legnica;KD;20.774;10.333;2.5380000000000003;0.04;0.001;Znaleziono po³¹czenie
